起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
98.0779,68.0537,1.11934,-2.54394,1.39015,44.3805,2.61992,-40.7507,93.2715,-2.86975,-2.073,1.41105,49.6129,0.796751,1,97.1817,0.134429,1,0,1,0,0.134429
120.589,39.9416,2.59741,-0.0872877,1.15756,40.2096,-2.6847,-33.5871,84.8264,-0.814136,2.60029,1.25157,47.2399,-1.78615,0,1e-39,120,1,0,1,0,120
112.578,72.1225,1.8819,2.19693,1.24025,42.0196,2.20435,-65.3541,105.634,2.30305,-2.32623,1.12062,44.2885,1.65391,1,106.131,0.11015,1,0,1,0,0.11015
91.9831,68.783,2.31975,2.91946,1.33965,43.7204,1.04398,-12.8178,103.11,-1.63082,-1.58567,1.1626,45.33,0.0451433,1,129.43,0.144386,1,0,1,0,0.144386
86.0856,32.7593,0.868997,0.142748,1.14316,39.8588,-1.01175,-48.8768,103.315,-2.31697,2.4707,1.42992,49.8021,-0.153727,1,43.5249,0.174803,1,0,1,0,0.174803
87.5671,44.1415,1.39205,-0.674148,1.32925,43.5672,-2.0662,-20.8317,85.1821,0.793796,1.49088,1.14345,44.8659,-2.28468,0,1e-39,120,1,0,1,0,120
87.9124,41.4821,-0.396711,1.23791,1.29898,43.0883,-0.8412,-42.5452,95.5081,-1.19993,2.32415,1.43865,49.8831,-1.12421,1,86.0758,0.300256,1,0,1,0,0.300256
87.0193,66.0451,-1.56155,0.856543,1.31929,43.4151,0.705009,-27.427,102.405,0.853909,2.04703,1.43209,49.8226,-2.90094,1,116.56,0.133962,1,0,1,0,0.133962
123.462,62.3886,0.52207,2.92461,1.17547,40.6316,2.8365,-61.2319,107.05,0.730698,-0.818718,1.20033,46.1899,-1.54942,0,1e-39,120,1,0,1,0,120
104.514,38.2712,-0.209015,2.04337,1.31403,43.3325,-1.83436,-27.3035,94.3082,-2.34647,-1.5803,1.35479,48.9329,0.766174,1,97.9322,0.0919566,1,0,1,0,0.0919566
90.6741,40.6078,-0.311458,1.3073,1.31733,43.3845,-0.995839,-38.9828,82.836,-1.45672,2.98321,1.22225,46.6559,-1.52648,1,128.5,0.251276,1,0,1,0,0.251276
122.192,38.9448,2.75161,-0.236331,1.12004,39.2734,-2.98794,-25.243,105.054,-0.963331,-2.17399,1.39812,49.472,-1.21066,0,1e-39,120,1,0,1,0,120
90.9724,34.8835,-0.160667,1.30964,1.22487,41.7099,-1.14897,-34.1441,86.267,-3.02724,-1.48214,1.28039,47.7698,1.5451,1,67.0023,0.133907,1,0,1,0,0.133907
112.645,62.0814,1.83418,1.81792,1.36639,44.0872,2.63109,-31.4681,92.3199,1.90905,0.137421,1.37059,49.1413,-2.04647,1,49.4544,0.119281,1,0,1,0,0.119281
86.7023,42.8051,-0.959471,1.70164,1.30068,43.1165,-0.742167,-52.2085,104.582,-2.91153,2.94096,1.37149,49.1527,-0.029433,1,158.781,0.116779,1,0,1,0,0.116779
113.767,55.4683,-0.443565,-2.66402,1.37955,44.2534,-2.22046,-23.0933,97.8144,1.20978,1.48263,1.32849,48.5558,-2.69242,1,72.9952,0.117094,1,0,1,0,0.117094
90.1445,59.9154,-0.638982,0.176333,1.4298,44.801,0.462649,-18.9938,97.7526,1.89161,0.885681,1.25744,47.3514,-2.77729,1,79.3982,0.120781,1,0,1,0,0.120781
94.5186,72.0088,2.09432,2.92983,1.30391,43.1696,1.25904,-59.1073,108.667,-0.867204,0.695192,1.23685,46.9523,0.172012,0,1e-39,120,1,0,1,0,120
95.8966,29.4887,-1.32573,2.73705,1.15102,40.0515,-1.41132,-16.5838,110.712,-2.99368,0.112754,1.22265,46.6641,2.88093,1,50.6703,0.136422,1,0,1,0,0.136422
105.361,73.6664,2.11429,2.31842,1.27483,42.671,1.85047,-23.5478,116.068,1.40076,2.39437,1.29769,48.0667,2.48805,1,164.471,0.154477,1,0,1,0,0.154477
99.4332,69.21,2.69196,2.06029,1.37137,44.1512,1.53093,-23.8703,110.714,3.12692,0.398955,1.35263,48.9033,2.75731,1,48.8895,0.0775819,1,0,1,0,0.0775819
84.1259,54.3277,3.07195,-3.02963,1.3407,43.7355,0.181602,-29.1235,111.906,-2.34314,-0.137288,1.42557,49.7603,2.20585,1,64.8787,0.110789,1,0,1,0,0.110789
80.6528,70.2298,-2.49808,1.8312,1.17499,40.6205,0.666876,-35.4269,88.5424,0.234092,1.4918,1.32646,48.5252,-1.72589,1,113.557,0.227116,1,0,1,0,0.227116
112.611,46.2883,2.44552,0.0915391,1.35105,43.8815,-2.53706,-32.2943,95.892,1.04745,1.08298,1.43461,49.8461,-2.13044,1,64.6689,0.193437,1,0,1,0,0.193437
93.1103,44.6585,1.1154,-0.132297,1.40414,44.5388,-1.2477,-54.5161,105.28,-2.28268,2.26572,1.32904,48.5641,0.0169586,1,93.2544,0.105597,1,0,1,0,0.105597
110.287,36.1458,2.69877,-0.62852,1.23581,41.9316,2.95589,-35.624,89.4249,-0.954313,2.6765,1.34315,48.7706,-1.72218,1,60.0106,0.1744,1,0,1,0,0.1744
120.49,57.3285,0.893491,2.36126,1.25211,42.2502,3.02844,-17.8781,89.409,1.12982,1.35257,1.15861,45.2349,-2.48239,0,1e-39,120,1,0,1,0,120
111.997,58.9493,-0.519716,-2.30387,1.40042,44.4978,-1.78415,-23.498,113.216,3.1204,0.536643,1.32628,48.5224,2.62614,1,83.7079,0.147052,1,0,1,0,0.147052
85.9279,57.7358,-2.79006,2.59805,1.36927,44.1244,0.192018,-23.5681,95.7559,-2.93485,-0.776435,1.31753,48.3877,2.15841,1,56.9234,0.0875001,1,0,1,0,0.0875001
98.0109,41.5102,2.76832,-1.34392,1.38209,44.2844,2.17095,-22.4638,121.728,-1.47489,-0.84437,1.20985,46.3953,0.630522,1,169.486,0.16586,1,0,1,0,0.16586
102.397,43.5431,-0.93486,2.71194,1.41726,44.6773,-1.77708,-23.2718,120.352,-0.362724,-1.97272,1.23969,47.0087,-1.61,1,87.8169,0.197779,1,0,1,0,0.197779
86.5583,53.9161,-0.890945,0.971407,1.38484,44.3176,-0.0804618,-53.1935,109.923,-2.45683,2.14348,1.33917,48.7134,0.313347,1,59.5777,0.0844568,1,0,1,0,0.0844568
92.4324,70.8147,2.85022,2.30849,1.31021,43.2717,1.12448,-24.1068,107.129,-2.19188,-0.797683,1.37441,49.1896,1.39419,1,48.4399,0.0761854,1,0,1,0,0.0761854
119.754,43.8235,-2.09928,-1.5572,1.21243,41.4502,0.542074,-22.4092,105.33,2.48094,0.681817,1.34613,48.8128,3.12043,1,73.2219,0.0776859,1,0,1,0,0.0776859
87.617,38.8704,-1.89324,2.80929,1.25756,42.3537,-0.916051,-37.3695,88.5786,-0.740199,2.34937,1.33062,48.5876,-1.60917,1,72.5472,0.0930188,1,0,1,0,0.0930188
80.8828,55.8908,-1.59174,1.54518,1.28016,42.7657,0.0465653,-24.9894,104.768,2.24837,0.875368,1.39346,49.419,-3.12374,1,57.0231,0.0955253,1,0,1,0,0.0955253
101.207,76.0706,0.693979,-2.32201,1.24293,42.0723,-3.01599,-19.586,104.455,-0.111638,-3.05953,1.29359,47.9979,-2.94789,1,79.5286,0.0847241,1,0,1,0,0.0847241
82.2395,52.6049,0.81276,-0.678714,1.30295,43.154,-1.49147,-35.6578,90.5717,-0.636559,2.36828,1.3641,49.0574,-1.73172,1,99.3371,0.207671,1,0,1,0,0.207671
109.329,45.1813,2.60917,-0.278534,1.38376,44.3047,-2.8877,-28.6371,90.2475,-2.33114,-1.81573,1.31131,48.2894,0.515411,1,50.8149,0.0846908,1,0,1,0,0.0846908
96.9993,70.1243,1.69175,-3.06669,1.34936,43.858,1.52475,-26.8046,100.608,1.24531,1.52239,1.41142,49.6168,-2.7677,0,1e-39,120,1,0,1,0,120
80.5562,65.7108,-2.29861,1.79511,1.22201,41.6507,0.503504,-11.1907,106.133,0.446393,2.73745,1.13122,44.5598,3.09934,1,97.9891,0.139196,1,0,1,0,0.139196
114.811,56.9121,0.976506,2.29347,1.35828,43.98,3.01321,-38.6682,89.5153,-1.51831,3.04598,1.34788,48.8374,-1.52767,1,128.922,0.213179,1,0,1,0,0.213179
88.0351,40.0154,3.01213,-2.11515,1.27945,42.7533,1.15591,-51.9416,110.72,-0.474324,0.0849853,1.35579,48.9465,0.389339,1,63.4582,0.0855681,1,0,1,0,0.0855681
99.0089,39.6345,-1.5327,3.03909,1.34975,43.8635,-1.50638,-20.8504,85.8463,2.0855,0.215542,1.15359,45.1139,-2.30105,1,68.8459,0.120001,1,0,1,0,0.120001
99.5798,43.896,-1.901,-2.84922,1.42801,44.7839,-0.948221,-39.8048,92.4745,0.88766,0.540031,1.39999,49.4929,-1.42769,1,134.975,0.137873,1,0,1,0,0.137873
96.0377,30.2811,-0.0289348,1.44079,1.1669,40.4318,-1.41186,-43.0035,95.0396,1.76129,-0.656012,1.42739,49.7779,-2.41731,0,1e-39,120,1,0,1,0,120
90.4422,28.947,2.43301,-1.21383,1.11277,39.0839,2.63635,-21.094,88.0456,2.63781,-0.283049,1.18827,45.9229,-2.92086,1,40.0688,0.134773,1,0,1,0,0.134773
108.741,72.8075,2.92786,1.32824,1.26698,42.5287,2.02709,-54.0474,110.985,0.761196,-1.11819,1.31774,48.391,-1.87939,1,92.1346,0.0809914,1,0,1,0,0.0809914
88.9672,56.1649,2.05494,-2.16014,1.42833,44.787,2.06811,-44.9494,89.9996,0.811487,0.325466,1.32879,48.5603,-1.13695,1,127.579,0.207752,1,0,1,0,0.207752