安全位形采样时间,初始位形采样时间
0.000495911,7.31945e-05
0.000365019,0.000121832
0.000360012,0.00012207
0.000268936,7.70092e-05
0.00029397,8.29697e-05
0.000176907,7.39098e-05
0.000402927,0.00011611
0.000192165,9.17912e-05
0.000283003,4.91142e-05
0.000380993,0.000102997
0.000442028,0.000152826
0.000463963,0.000127077
0.000365019,9.89437e-05
0.000183105,5.88894e-05
0.000386,8.60691e-05
0.000283957,5.10216e-05
0.000239849,8.2016e-05
0.000185013,8.82149e-05
0.000381947,0.000102043
0.000360012,8.39233e-05
0.000301123,7.89165e-05
0.000470877,0.000134945
0.000407934,0.00011611
0.000109911,3.88622e-05
0.000412226,9.08375e-05
0.000224829,5.81741e-05
0.0002141,4.88758e-05
0.000332117,5.19753e-05
0.000344038,0.000128984
0.000276089,9.70364e-05
0.000442982,0.000101089
0.000154972,7.31945e-05
0.000436068,0.000112057
0.000241995,6.50883e-05
0.000355959,8.2016e-05
0.000453949,0.000104904
0.000365019,7.29561e-05
0.000206947,9.29832e-05
0.000336885,8.51154e-05
0.000138998,6.98566e-05
0.000355959,8.70228e-05
0.000432014,0.00010705
0.000280142,7.89165e-05
0.000267982,5.48363e-05
0.000396013,0.000137091
0.000289917,8.41618e-05
0.000301838,8.10623e-05
0.000112057,6.38962e-05
0.000439167,0.000116825
0.000239134,8.58307e-05
0.000338078,7.70092e-05
0.000374079,7.41482e-05
0.000257969,6.48499e-05
0.000229836,0.000109196
0.00039196,9.20296e-05
0.000411034,7.9155e-05
0.000268936,6.10352e-05
0.000345945,0.000112057
0.000241995,6.79493e-05
0.000180006,7.9155e-05
0.000384092,0.000112057
0.000262976,9.10759e-05
0.000292778,9.91821e-05
0.000213146,0.000102997
0.000288963,7.79629e-05
0.000118017,5.00679e-05
0.000367165,9.89437e-05
0.000406027,9.58443e-05
0.000419855,9.41753e-05
0.000189066,5.79357e-05
0.000302076,6.60419e-05
0.000351191,8.2016e-05
0.000417948,0.000115156
0.00018692,5.60284e-05
0.000406027,9.29832e-05
0.0001719,8.2016e-05
0.000399828,8.60691e-05
0.000365973,7.48634e-05
0.000313044,7.10487e-05
0.000345945,0.000130892
0.000374079,7.79629e-05
0.000387192,9.17912e-05
0.000280142,7.08103e-05
0.000396013,0.000106812
0.000432014,9.70364e-05
0.000452995,0.000124931
0.000130892,5.72205e-05
0.00018692,8.01086e-05
0.000324965,9.29832e-05
0.000195026,9.89437e-05
0.000423908,9.5129e-05
0.000377893,0.000111103
0.000380993,0.000100136
0.00036478,8.91685e-05
0.000377178,8.2016e-05
0.0001719,6.41346e-05
0.000341892,7.79629e-05
0.000222921,9.799e-05
0.000415087,0.000101805
0.000272989,0.000102997
0.000300884,9.01222e-05
0.000293016,7.20024e-05
0.000421047,0.000104904
0.000282049,8.08239e-05
0.000243902,8.2016e-05
0.000294209,8.4877e-05
0.000374079,8.17776e-05
0.000185013,8.60691e-05
0.000560999,0.000124931
0.000411987,0.000103951
0.000452995,0.00012207
0.000216007,0.00010705
0.000432968,0.00011611
0.000424147,8.98838e-05
0.000446796,0.000109196
0.000183105,8.98838e-05
0.0002141,6.60419e-05
0.000257969,5.81741e-05
0.000445127,0.000121832
0.000213146,8.89301e-05
0.000174046,7.58171e-05
0.000149012,8.10623e-05
0.000294924,7.60555e-05
0.000142813,7.70092e-05
0.000273228,0.000110865
0.000174046,8.08239e-05
0.000321865,9.799e-05
0.000379801,9.60827e-05
0.000340939,0.000102997
0.000417948,9.39369e-05
0.000396013,8.70228e-05
0.000164986,9.48906e-05
0.000181198,8.89301e-05
0.000292063,8.79765e-05
0.000365973,9.60827e-05
0.00028801,7.70092e-05
0.000303984,8.2016e-05
0.000121117,6.19888e-05
0.000468016,9.98974e-05
0.000149012,7.20024e-05
0.000432014,0.000129938
0.000314951,8.70228e-05
0.0001719,8.70228e-05
0.000142813,8.29697e-05
0.00031209,8.4877e-05
0.000406027,0.000124931
0.000217915,8.01086e-05
0.000370979,0.000102997
0.000163794,6.69956e-05
0.000272989,8.2016e-05
0.000319958,8.79765e-05
0.000305176,8.89301e-05
0.000386953,0.00010705
0.000339031,0.000100136
0.000396013,8.51154e-05
0.000362873,8.60691e-05
0.000416994,0.000116825
0.000360012,8.91685e-05
0.000293016,5.79357e-05
0.000363827,8.91685e-05
0.00030899,6.8903e-05
0.000257015,6.50883e-05
0.000407934,0.000120163
0.000268936,8.39233e-05
0.000287056,7.70092e-05
0.000169039,9.799e-05
0.000367165,0.000123978
0.000428915,9.10759e-05
0.000432014,0.000174999
0.000145197,6.98566e-05
0.000185013,8.70228e-05
0.000398874,0.000108957
0.000370979,9.799e-05
0.000293016,0.00011301
0.000316858,9.91821e-05
0.000137091,6.8903e-05
0.000336885,8.79765e-05
0.000181198,7.08103e-05
0.000384092,9.48906e-05
0.000324011,0.000108004
0.000221014,6.79493e-05
0.000338078,0.00010705
0.000310183,9.58443e-05
0.000146866,6.50883e-05
0.000365973,0.000108004
0.000287056,4.69685e-05
0.000370026,8.79765e-05
0.000129938,5.91278e-05
0.000368834,0.000100136
0.000186205,9.58443e-05
0.000177145,7.70092e-05
0.000198126,7.70092e-05
0.000358105,0.000128984
0.000332117,8.2016e-05
0.000285864,8.70228e-05
0.000357866,8.79765e-05
0.000296116,8.29697e-05
0.000149012,5.38826e-05
0.000309229,8.29697e-05
0.000104189,5.79357e-05
0.000361919,9.70364e-05
0.000182867,8.91685e-05
0.00037384,8.01086e-05
0.000339985,9.20296e-05
0.000303984,8.01086e-05
0.000396967,0.000105858
0.000340939,7.29561e-05
0.000223875,8.41618e-05
0.000252008,9.48906e-05
0.000398874,9.799e-05
0.00018096,8.2016e-05
0.000195026,9.20296e-05
0.000419855,9.01222e-05
0.000393152,8.89301e-05
0.000355959,9.32217e-05
0.000302076,8.60691e-05
0.000396967,9.70364e-05
0.000346899,8.39233e-05
0.000341177,7.10487e-05
0.000283003,6.81877e-05
0.000374079,8.29697e-05
0.000355005,9.60827e-05
0.000325918,6.10352e-05
0.000391006,0.00011301
0.000418186,0.000103951
0.000197172,8.17776e-05
0.000423193,9.39369e-05
0.000315905,6.69956e-05
0.000408888,0.000102997
0.000149012,8.41618e-05
0.000397205,9.39369e-05
0.00012207,6.10352e-05
0.000399113,0.000103951
0.000307798,8.10623e-05
0.000338078,6.8903e-05
0.000151157,6.69956e-05
0.000325918,8.60691e-05
0.0002141,8.79765e-05
0.000418186,9.29832e-05
0.000221968,9.60827e-05
0.000349045,6.79493e-05
0.000209093,7.20024e-05
0.000196934,7.89165e-05
0.000368834,9.29832e-05
0.000386,0.000102997
0.000353098,8.10623e-05
0.0003829,7.51019e-05
0.000405788,9.32217e-05
0.000216007,9.08375e-05
0.000125885,6.00815e-05
0.000473976,0.000138998
0.000349045,7.10487e-05
0.00054884,0.000146151
0.000321865,9.89437e-05
0.000272989,9.60827e-05
0.00031805,9.799e-05
0.000339985,8.89301e-05
0.000335932,9.01222e-05
0.000255108,6.50883e-05
0.000266075,8.29697e-05
0.000257969,7.29561e-05
0.000164986,5.6982e-05
0.000279903,9.20296e-05
0.000176907,6.91414e-05
0.000330925,0.000106096
0.000200033,9.08375e-05
0.000277042,7.20024e-05
0.00039506,8.89301e-05
0.000257015,8.60691e-05
0.000118971,5.91278e-05
0.000313997,7.82013e-05
0.000347137,9.98974e-05
0.000382185,0.000100851
0.000337839,9.70364e-05
0.000401974,8.60691e-05
0.000398874,0.000118971
0.000382185,0.000102997
0.000296831,6.91414e-05
0.000266075,7.10487e-05
0.000277042,0.000104904
0.000298977,8.2016e-05
0.000370026,9.58443e-05
0.000369072,0.000106096
0.000335217,0.000101805
0.000302076,8.39233e-05
0.000372887,0.000108957
0.000286102,8.4877e-05
0.000164032,8.79765e-05
0.000339985,8.2016e-05
0.000290871,8.89301e-05
0.000414133,0.000120878
0.000344992,8.4877e-05
0.000313044,7.89165e-05
0.000384808,0.000118017
0.00030303,8.10623e-05
0.00029397,7.29561e-05
0.000332832,8.79765e-05
0.000313044,8.2016e-05
0.000257015,6.19888e-05
0.000280857,7.9155e-05
0.00030303,8.58307e-05
0.000356913,8.39233e-05
0.000291109,7.70092e-05
0.000274897,7.39098e-05
0.000387907,0.000128984
0.000141144,6.19888e-05
0.000304937,7.20024e-05
0.000185013,5.50747e-05
0.000447035,0.00012207
0.000108004,5.60284e-05
0.00040102,0.000101805
0.000388145,9.48906e-05
0.000267029,0.000119925
0.000230074,0.000101805
0.000211,0.000114918
0.000315905,8.79765e-05
0.000377178,7.79629e-05
0.000151873,7.9155e-05
0.000394106,0.000104904
0.000375986,0.000112057
0.000457048,0.000102997
0.000316858,9.20296e-05
0.000323057,7.98702e-05
0.000235081,6.58035e-05
0.000307083,9.799e-05
0.000179052,8.89301e-05
0.000148058,7.79629e-05
0.000255108,8.39233e-05
0.000331163,8.58307e-05
0.000350952,7.89165e-05
0.000353098,9.48906e-05
0.000108957,6.10352e-05
0.00039196,0.000116825
0.000170946,9.29832e-05
0.000164986,7.20024e-05
0.000200033,0.000104904
0.000374079,0.000108004
8.41618e-05,4.60148e-05
0.000433922,0.000117064
0.00031209,0.000109911
0.000298977,8.79765e-05
0.000344992,8.79765e-05
0.000328064,9.58443e-05
0.000361919,9.29832e-05
0.000409842,0.000121117
0.000364065,9.01222e-05
0.000583887,0.000149965
0.000174999,5.19753e-05
0.000337124,0.000100851
0.00019002,8.60691e-05
0.000409842,0.00011301
0.000384092,9.98974e-05
0.000306129,8.89301e-05
0.00043416,9.58443e-05
0.000243902,9.32217e-05
0.000378132,9.17912e-05
0.000288963,7.82013e-05
0.000126123,6.58035e-05
0.000128984,7.48634e-05
0.000167847,7.51019e-05
0.000301838,9.01222e-05
0.00050807,0.000183105
0.000436068,0.00012207
0.000345945,0.000110149
0.00031209,7.70092e-05
0.000314951,9.08375e-05
0.000265121,9.98974e-05
0.000403166,0.000108004
0.000278234,9.98974e-05
0.000317097,9.20296e-05
0.000346899,9.39369e-05
0.000110149,6.38962e-05
0.000355005,8.58307e-05
0.000326157,0.000102997
0.000339031,8.60691e-05
0.00032115,9.08375e-05
0.000173092,8.70228e-05
0.000155926,8.4877e-05
0.000350952,8.2016e-05
0.00041008,9.89437e-05
0.0003438,9.5129e-05
0.000337839,9.5129e-05
0.000323057,7.98702e-05
0.000323057,0.000108957
0.000431061,9.70364e-05
0.000112057,7.20024e-05
0.000282049,9.89437e-05
0.000130892,7.58171e-05
0.000298977,9.20296e-05
0.000281811,8.10623e-05
0.000328064,9.20296e-05
0.000358105,0.000123024
0.000264168,0.000113964
0.000347853,9.29832e-05
0.000364065,9.89437e-05
0.000201941,0.000109196
0.000313044,8.79765e-05
0.000328064,9.01222e-05
0.000296831,9.29832e-05
0.000346899,8.70228e-05安全位形采样时间,初始位形采样时间
0.000365019,8.98838e-05
0.000152111,5.60284e-05
0.000240803,7.31945e-05
0.000191927,7.20024e-05
0.000247955,6.60419e-05
0.000249863,5.50747e-05
0.000208139,4.60148e-05
0.000111103,6.19888e-05
0.000211954,5.79357e-05
0.000201941,9.5129e-05
0.000218868,7.70092e-05
9.98974e-05,4.50611e-05
0.000239849,7.41482e-05
9.70364e-05,4.50611e-05
0.000232935,6.91414e-05
0.000326872,7.10487e-05
0.000148058,6.69956e-05
9.20296e-05,8.08239e-05
0.000243902,6.69956e-05
0.000163078,7.79629e-05
0.000267982,7.48634e-05
0.000222921,6.50883e-05
0.000252008,6.98566e-05
0.000242949,7.20024e-05
0.000263214,6.79493e-05
0.000154018,5.50747e-05
0.000196934,7.51019e-05
0.000195026,5.79357e-05
0.000188828,6.79493e-05
0.000263929,9.32217e-05
0.000285864,5.50747e-05
9.10759e-05,4.29153e-05
0.000226974,5.98431e-05
0.000257015,8.60691e-05
0.000225067,5.79357e-05
0.000231028,6.69956e-05
0.000228167,5.60284e-05
0.00027895,7.9155e-05
0.00027895,5.00679e-05
0.000210047,4.79221e-05
0.000248909,0.000123978
0.000183105,5.38826e-05
0.000268936,7.10487e-05
0.000253201,5.57899e-05
0.000197887,4.22001e-05
0.000362873,8.4877e-05
0.000201225,4.69685e-05
0.000213861,4.81606e-05
9.98974e-05,5.00679e-05
0.000234842,5.31673e-05
0.000252008,6.81877e-05
0.000124931,6.79493e-05
0.000224113,5.88894e-05
0.000161886,5.19753e-05
0.000240088,7.89165e-05
0.000123978,6.58035e-05
0.000257015,6.10352e-05
0.000231028,4.60148e-05
0.000182867,6.00815e-05
0.000159025,5.60284e-05
0.000236988,7.00951e-05
0.000138044,3.91006e-05
0.000160933,5.31673e-05
0.000178099,6.19888e-05
0.000248909,6.69956e-05
9.58443e-05,5.6982e-05
0.000268936,8.01086e-05
0.000324011,8.60691e-05
0.000247002,8.29697e-05
0.000155926,4.88758e-05
0.000183105,5.79357e-05
0.000235081,6.50883e-05
0.000237942,5.31673e-05
0.000294209,6.38962e-05
0.000301123,8.2016e-05
0.000253916,6.91414e-05
0.00018096,7.51019e-05
0.000210047,5.38826e-05
0.000255108,6.69956e-05
0.000174046,4.69685e-05
0.000296831,7.51019e-05
0.000221014,5.10216e-05
0.000218868,4.81606e-05
0.000185013,5.29289e-05
0.000113964,5.19753e-05
0.000427008,0.000191927
0.000249863,8.51154e-05
0.000241041,6.38962e-05
0.000279903,7.39098e-05
0.000255108,7.08103e-05
0.00022912,4.69685e-05
0.000324965,9.799e-05
0.000262976,5.88894e-05
0.000136137,5.38826e-05
0.000272036,7.89165e-05
0.000287056,7.29561e-05
0.000293016,7.79629e-05
0.000247002,5.29289e-05
0.000334024,0.00010705
0.000109196,5.29289e-05安全位形采样时间,初始位形采样时间
0.000372887,5.00679e-05
0.000236988,0.000104189
0.000245094,6.50883e-05
0.000183105,7.60555e-05
0.000132084,6.79493e-05
0.000300884,8.29697e-05
0.000301838,9.5129e-05
0.00033021,8.29697e-05
0.000250101,4.50611e-05
0.000239849,7.10487e-05
0.000407934,0.000128984
0.000139952,7.51019e-05
0.000426054,0.000116825
0.000218153,9.39369e-05
0.000329971,6.29425e-05
0.000213861,4.81606e-05
0.000250101,5.6982e-05
0.000200033,6.79493e-05
0.000191927,5.81741e-05
0.000432968,8.70228e-05
0.000266075,7.29561e-05
0.000241995,6.69956e-05
0.000291109,5.88894e-05
0.000165939,8.29697e-05
0.000271082,7.51019e-05
0.0030849,0.0002141
0.000218153,7.29561e-05
0.00029707,8.89301e-05
0.000280142,8.79765e-05
0.000288963,8.10623e-05
0.000293016,5.19753e-05
0.000272036,7.20024e-05
0.000271797,7.00951e-05
9.98974e-05,5.81741e-05
0.000265837,9.01222e-05
0.000179052,9.20296e-05
0.000283003,4.3869e-05
0.000211954,8.10623e-05
0.000354767,0.000115156
0.000121832,6.8903e-05
0.000444889,9.48906e-05
0.000298977,6.60419e-05
0.000267982,5.48363e-05
0.000236034,6.38962e-05
0.000422955,9.29832e-05
0.000501156,0.000127792
0.000432014,0.000111103
0.000313044,0.000129938
0.000567198,9.08375e-05
0.000706911,0.000113964
0.000500917,0.000106096
0.000398874,0.000183105
0.000248909,9.60827e-05
0.000123024,5.48363e-05
0.000771999,0.0001719
0.000349045,7.70092e-05
0.000512123,0.000118017
0.000156879,0.000101089
0.000456095,9.799e-05
0.000528812,0.000180006
0.000524998,9.58443e-05
0.000366926,9.29832e-05
0.000273943,7.29561e-05
0.000165939,7.60555e-05
0.000157833,4.1008e-05
0.000243187,8.29697e-05
0.000254869,6.31809e-05
0.000576019,6.91414e-05
0.0002141,8.98838e-05
0.000236034,6.29425e-05
0.000261068,6.38962e-05
0.000141859,5.91278e-05
0.000121117,5.6982e-05
0.000159025,6.91414e-05
0.000247002,6.41346e-05
0.000137091,6.8903e-05
0.000185013,6.19888e-05
0.0002141,7.20024e-05
0.00018692,5.38826e-05
0.000204802,8.41618e-05
0.000136852,6.19888e-05
0.000262022,6.69956e-05
0.000216961,7.08103e-05
0.000293016,7.08103e-05
0.000208139,4.88758e-05
0.000102997,5.29289e-05
0.000194073,4.1008e-05
0.000113964,4.60148e-05
0.000228167,7.79629e-05
0.000216007,9.20296e-05
0.000272989,9.01222e-05
0.000244856,7.10487e-05
0.000329018,7.39098e-05
0.000195026,6.50883e-05
0.00026989,8.10623e-05
0.000201941,7.00951e-05
0.000228167,7.20024e-05
0.000226021,6.29425e-05
0.000234127,7.58171e-05
0.000108957,6.10352e-05安全位形采样时间,初始位形采样时间
0.000391006,7.60555e-05
0.000223875,6.41346e-05
7.79629e-05,4.19617e-05
0.000103951,4.91142e-05
0.000169992,5.38826e-05
0.000198126,5.10216e-05
0.000169992,5.60284e-05
0.000188112,8.67844e-05
0.000146151,6.79493e-05
0.000140905,8.29697e-05
0.000287056,7.79629e-05
0.00011301,6.00815e-05
0.000183821,6.10352e-05
0.000169992,9.29832e-05
0.000305176,7.79629e-05
0.000247002,6.98566e-05
0.00018096,6.10352e-05
0.000257969,6.91414e-05
0.000200987,6.91414e-05
0.000193834,6.81877e-05
0.00028491,6.19888e-05
0.000202179,6.8903e-05
0.000231981,7.00951e-05
0.000197887,6.31809e-05
0.000166893,6.10352e-05
0.000167131,5.07832e-05
0.000270844,5.60284e-05
0.00025177,7.20024e-05
0.00018096,5.88894e-05
0.000114918,6.29425e-05
0.000251055,7.10487e-05
0.000305891,8.58307e-05
0.000143051,3.40939e-05
0.000370026,8.70228e-05
0.000200987,6.00815e-05
0.000129223,4.57764e-05
0.000236988,8.60691e-05
0.000311136,6.79493e-05
0.000104904,4.88758e-05
0.000210047,6.69956e-05
0.000215054,4.48227e-05
0.000128984,6.69956e-05
0.000231981,7.10487e-05
0.000128984,6.29425e-05
0.000233889,6.10352e-05
0.000196934,6.60419e-05
0.000229836,5.6982e-05
0.000249863,7.51019e-05
0.000213146,6.10352e-05
0.000189066,6.29425e-05
0.000152826,8.60691e-05
0.000117064,5.98431e-05
0.000196934,5.00679e-05
0.000211,7.60555e-05
0.000217199,7.58171e-05
0.000179052,6.79493e-05
0.000233889,6.31809e-05
0.000118017,6.19888e-05
0.000272036,6.79493e-05
0.000233173,8.89301e-05
0.000184059,7.60555e-05
0.000291824,7.00951e-05
0.000195026,6.29425e-05
0.000150919,7.51019e-05
0.00019002,6.19888e-05
0.000209093,6.8903e-05
0.000212908,6.00815e-05
0.00028801,5.79357e-05
0.000315905,9.20296e-05
0.00022912,8.4877e-05
0.000239134,6.69956e-05
0.000128031,6.48499e-05
0.000218153,6.19888e-05
0.000188112,6.60419e-05
0.000244141,6.50883e-05
0.000150919,5.22137e-05
0.00020504,6.29425e-05
0.000109196,5.88894e-05
0.000240088,6.69956e-05
0.000149965,6.38962e-05
0.000252962,7.00951e-05
0.00019598,4.60148e-05
0.000230074,7.60555e-05
0.000113964,5.91278e-05
0.00030899,9.48906e-05
0.000108004,6.79493e-05
0.000228882,8.60691e-05
0.000144958,6.19888e-05
0.000218153,7.89165e-05
0.00018692,5.50747e-05
0.000130892,6.38962e-05
0.000184059,7.39098e-05
0.000234842,6.31809e-05
0.000108957,6.19888e-05
0.000212908,8.51154e-05
0.000178814,5.91278e-05
0.000116825,6.60419e-05
9.5129e-05,4.48227e-05
0.000305891,7.00951e-05
0.000285149,7.58171e-05安全位形采样时间,初始位形采样时间
0.000139952,7.00951e-05
9.89437e-05,5.88894e-05
0.000227928,6.79493e-05
0.00018096,5.81741e-05
0.000207901,4.69685e-05
0.000243902,6.60419e-05
0.000219107,4.79221e-05
0.000130177,6.98566e-05
0.000184059,6.29425e-05
0.000257969,7.29561e-05
0.000249147,6.69956e-05
0.000226974,4.29153e-05
0.000246048,9.60827e-05
0.000123978,7.29561e-05
0.000189066,7.10487e-05
0.000177145,8.70228e-05
0.000262022,7.51019e-05
0.000247002,6.19888e-05
0.000442028,6.8903e-05
0.000302792,8.32081e-05
0.000280857,9.10759e-05
0.000124931,6.10352e-05
0.000302076,7.29561e-05
0.000143051,6.8903e-05
0.000268936,7.10487e-05
0.000248909,6.19888e-05
0.000191927,6.29425e-05
0.000208139,6.8903e-05
0.000244141,7.79629e-05
0.000149012,5.57899e-05
0.000138998,6.79493e-05
0.000248909,7.29561e-05
0.000355959,7.70092e-05
0.000149012,7.29561e-05
0.000181913,6.00815e-05
0.000187159,6.8903e-05
0.000209093,6.29425e-05
0.000341892,8.91685e-05
0.000252008,9.20296e-05
0.000263929,6.79493e-05
0.000301123,9.08375e-05
0.000242949,6.00815e-05
0.000374079,0.000115871
0.000299931,0.000102997
0.000291109,6.29425e-05
0.000218868,5.50747e-05
0.000292063,9.29832e-05
7.79629e-05,4.00543e-05
0.000257969,7.29561e-05
0.000136137,6.58035e-05
0.000291109,7.29561e-05
0.000226974,7.29561e-05
0.000264168,7.58171e-05
0.000273943,7.29561e-05
0.000146866,7.89165e-05
0.000127077,6.29425e-05
0.000182867,5.79357e-05
0.00020504,6.60419e-05
0.000259161,6.50883e-05
0.000112057,5.29289e-05
0.000262976,7.00951e-05
0.000300169,5.60284e-05
0.0002141,6.38962e-05
0.000268936,7.9155e-05
0.000217199,5.19753e-05
0.000208855,6.00815e-05
0.000265121,7.79629e-05
0.000103951,5.31673e-05
0.000274897,7.41482e-05
0.000128984,6.50883e-05
0.000146866,4.69685e-05
0.000234127,6.48499e-05
0.000273943,6.98566e-05
0.000212908,4.72069e-05
0.000258923,6.60419e-05
0.000135899,6.8903e-05
0.000249863,6.41346e-05
0.000112057,6.10352e-05
0.000248909,6.69956e-05
0.000128031,6.79493e-05
0.000123024,5.98431e-05
0.000152111,9.29832e-05
0.000348091,7.70092e-05
0.000272989,8.10623e-05
0.00026083,6.8903e-05
9.82285e-05,6.69956e-05
0.000188112,6.19888e-05
8.98838e-05,4.91142e-05
0.000252008,6.29425e-05
0.000148773,6.50883e-05
0.000328064,0.000103951
0.000257015,6.19888e-05
0.000272036,8.51154e-05
0.000198841,6.69956e-05
0.00019908,7.48634e-05
0.000215054,5.00679e-05
0.00020504,0.000102043
0.000190973,4.60148e-05
0.000222921,4.81606e-05
0.000119925,6.10352e-05安全位形采样时间,初始位形采样时间
0.000393867,8.01086e-05
8.89301e-05,4.60148e-05
0.000403881,0.000128984
0.000135899,6.69956e-05
0.000231981,6.79493e-05
5.60284e-05,3.40939e-05
0.000245094,8.58307e-05
0.00031805,5.29289e-05
0.000257969,8.60691e-05
0.000256062,7.29561e-05
0.000250101,6.98566e-05
0.000247002,6.69956e-05
0.000208855,4.19617e-05
0.000185966,6.50883e-05
0.000115871,5.79357e-05
0.000201941,8.10623e-05
0.000241995,6.69956e-05
0.000247955,6.50883e-05
0.000226974,6.69956e-05
0.000108004,5.81741e-05
0.000184059,6.19888e-05
0.000209093,8.4877e-05
0.000192881,6.29425e-05
0.000153065,7.79629e-05
8.89301e-05,5.4121e-05
0.000210047,6.29425e-05
0.000256777,7.60555e-05
0.000249147,6.60419e-05
0.000194073,6.60419e-05
0.000238895,7.9155e-05
0.000275135,8.70228e-05
0.000262976,8.2016e-05
0.000126839,6.50883e-05
0.000113964,6.10352e-05
0.000283003,7.9155e-05
0.000263929,7.29561e-05
0.000283003,7.20024e-05
0.000200033,7.00951e-05
0.0002141,4.3869e-05
0.000212908,7.39098e-05
0.000185966,6.00815e-05
0.000191927,7.00951e-05
9.29832e-05,4.31538e-05
0.000210047,5.29289e-05
0.000169992,3.88622e-05
0.00010705,5.91278e-05
0.000433922,9.39369e-05
0.000119925,6.19888e-05
0.000283957,7.10487e-05
0.000133991,7.29561e-05
0.000240803,4.81606e-05
0.000233173,4.69685e-05
0.000227928,4.29153e-05
0.000136137,6.8903e-05
0.000272036,6.8903e-05
0.00022912,4.79221e-05
0.000287056,5.4121e-05
0.000106812,6.48499e-05
0.000205994,6.29425e-05
0.000103951,5.29289e-05
0.000188112,9.98974e-05
9.799e-05,6.48499e-05
0.000213146,6.8903e-05
0.000195026,5.6982e-05
0.000198841,6.41346e-05
0.000228882,9.01222e-05
0.000226021,6.29425e-05
0.000185013,6.91414e-05
0.000141144,6.07967e-05
0.000227928,8.98838e-05
0.00022006,6.79493e-05
0.000226021,7.10487e-05
0.000196934,8.70228e-05
0.000163078,9.08375e-05
0.000201941,6.29425e-05
0.000341177,8.4877e-05
0.000223875,6.91414e-05
8.01086e-05,4.1008e-05
0.000217915,6.50883e-05
0.000161886,5.10216e-05
0.000215054,6.19888e-05
0.000241995,7.10487e-05
0.000193119,6.38962e-05
0.000118017,6.31809e-05
0.000277042,6.29425e-05
0.00031805,9.89437e-05
0.000112057,3.69549e-05
0.000105143,4.00543e-05
0.000194073,6.50883e-05
0.000270128,6.58035e-05
0.000256062,5.60284e-05
0.000218868,8.2016e-05
0.000193119,6.19888e-05
0.00023818,6.19888e-05
0.000202894,5.10216e-05
0.00022006,5.19753e-05
0.000185013,5.48363e-05
0.000300169,7.20024e-05
0.000238895,6.19888e-05
0.000115871,6.10352e-05